stage,metric,mean_score
Pre,How comfortable are you with your current knowledge of mental illness? Select one.,2.6
Post,How comfortable are you with your current knowledge of mental illness? Select one.,3.5714285714285716
3–6 Month,How comfortable are you with your current knowledge of mental illness? Select one.,3.2
12 Month,How comfortable are you with your current knowledge of mental illness? Select one.,3.75
Pre,How aware are you of community resources available to people living with mental illness? Select one.,2.466666666666667
Post,How aware are you of community resources available to people living with mental illness? Select one.,3.7142857142857144
3–6 Month,How aware are you of community resources available to people living with mental illness? Select one.,3.5
12 Month,How aware are you of community resources available to people living with mental illness? Select one.,3.5
Pre,How knowledgeable are you about civil commitment laws? Select one.,2.1333333333333333
Post,How knowledgeable are you about civil commitment laws? Select one.,3.142857142857143
3–6 Month,How knowledgeable are you about civil commitment laws? Select one.,3.3
12 Month,How knowledgeable are you about civil commitment laws? Select one.,3.5
Pre,How knowledgeable are you about professional liability considerations that could arise when professionally engaging with someone in a mental health crisis? Select one.,2.466666666666667
Post,How knowledgeable are you about professional liability considerations that could arise when professionally engaging with someone in a mental health crisis? Select one.,3.142857142857143
3–6 Month,How knowledgeable are you about professional liability considerations that could arise when professionally engaging with someone in a mental health crisis? Select one.,3.2
12 Month,How knowledgeable are you about professional liability considerations that could arise when professionally engaging with someone in a mental health crisis? Select one.,3.5
Pre,How familiar are you with the roles of various actors or organizations in the mental health system? Examples of actors or organizations include things like different types of mental health profess...,2.4
Post,How familiar are you with the roles of various actors or organizations in the mental health system? Examples of actors or organizations include things like different types of mental health profess...,3.5714285714285716
3–6 Month,How familiar are you with the roles of various actors or organizations in the mental health system? Examples of actors or organizations include things like different types of mental health profess...,3.4
12 Month,How familiar are you with the roles of various actors or organizations in the mental health system? Examples of actors or organizations include things like different types of mental health profess...,3.5
Pre,How well prepared do you feel to appropriately engage with someone experiencing a mental health crisis? Select one.,2.7333333333333334
Post,How well prepared do you feel to appropriately engage with someone experiencing a mental health crisis? Select one.,4.0
3–6 Month,How well prepared do you feel to appropriately engage with someone experiencing a mental health crisis? Select one.,3.6
12 Month,How well prepared do you feel to appropriately engage with someone experiencing a mental health crisis? Select one.,3.5
Pre,How would you rate your comfort level in appropriately engaging with someone experiencing a mental health crisis? Select one.,2.8666666666666667
Post,How would you rate your comfort level in appropriately engaging with someone experiencing a mental health crisis? Select one.,3.5714285714285716
3–6 Month,How would you rate your comfort level in appropriately engaging with someone experiencing a mental health crisis? Select one.,3.5
12 Month,How would you rate your comfort level in appropriately engaging with someone experiencing a mental health crisis? Select one.,3.5
Pre,How would you rate your confidence in using de-escalation skills to appropriately engage with someone experiencing a mental health crisis? Select one.,2.8666666666666667
Post,How would you rate your confidence in using de-escalation skills to appropriately engage with someone experiencing a mental health crisis? Select one.,3.857142857142857
3–6 Month,How would you rate your confidence in using de-escalation skills to appropriately engage with someone experiencing a mental health crisis? Select one.,3.7
12 Month,How would you rate your confidence in using de-escalation skills to appropriately engage with someone experiencing a mental health crisis? Select one.,3.5
