feature,coefficient,std_error,z_score,p_value,significant
MPD Responded,1.888592381142583,0.0947873883378326,19.924511185169305,0.0,True
Anger/Uncooperative,0.8004281514096285,0.10760007842376455,7.438917911503625,1.0236256287043943e-13,True
Manic,0.744366809374112,0.10502204799855684,7.087719415598988,1.3726797476465435e-12,True
Confusion,0.6884729396374007,0.10545156102890921,6.528807466356779,6.66275923322246e-11,True
Probable Cause,0.42348909842263754,0.08545712231702161,4.955574052166841,7.222625368896729e-07,True
Disorganized Speech,0.20960864680636343,0.10002608791750343,2.0955397832781815,0.036122909900669686,True
Scared/Frightened,0.09459993000506695,0.10483137524117202,0.9024009243148152,0.36684387364455207,False
Substance Involved,0.08138115232431345,0.12279325508111504,0.6627493684753253,0.5074909562425498,False
Depression,-0.25717404079729406,0.11025071223910117,-2.332629289562291,0.019667567237763084,True
Housed,-0.3000366990202903,0.10193233182278243,-2.943489012373222,0.0032454902539056363,True
Hallucinations,-0.3970301847628348,0.09260862956485343,-4.28718345363353,1.8108026261565158e-05,True
Unhoused,-0.8749210715181164,0.1062662272385136,-8.233293807740388,2.220446049250313e-16,True
MST Responded,-0.8860331425461893,0.10982907838400968,-8.067382106599295,8.881784197001252e-16,True
