feature,coefficient,std_error,z_score,p_value,significant
MST Responded,0.5494564707280051,0.11642773849390957,4.719291788741722,2.3694742012914105e-06,True
Unhoused,0.4313424235489965,0.11276007093775406,3.8253117400447136,0.00013065269914003252,True
Severe Encounter,0.32695525290486355,0.11074292413273416,2.9523805260708462,0.0031534779545618896,True
MPD Responded,0.10905094599276306,0.11109046530422695,0.9816409139700456,0.32627678911063596,False
Confusion,0.08527513764174027,0.12260969653337446,0.695500763669032,0.4867413954550208,False
Housed,-0.007647395214449213,0.10651571687732049,-0.07179593238880896,0.9427641720137858,False
Depression,-0.16314192377652806,0.12407148522363895,-1.3149026414165539,0.1885427585278472,False
Anger/Uncooperative,-0.2078136408912192,0.11237791553714373,-1.8492391473270178,0.06442316773308576,False
Manic,-0.3576927781173484,0.10946658225464101,-3.2675979319288895,0.001084764208540312,True
Substance Involved,-0.7629246421599875,0.12218994663003671,-6.243759511947193,4.289750776820256e-10,True
